sim	toetseenheid	functie	toetshoogte	volume	oppervlakte	percentage
1	1836	akkerbouw	1.38	0	0	0
1	1836	hoogwaardig	1.27	0	0	0
1	1836	stedelijk	1.35	0	0	0
1	1992	grasland	0	0	0	0
1	1992	akkerbouw	0	0	0	0
1	1992	hoogwaardig	1.36	77.67	2225	11.9
1	1992	stedelijk	0	0	0	0
1	1106	grasland	1.42	0	0	0
1	1106	akkerbouw	0	0	0	0
1	1106	hoogwaardig	2.17	0	0	0
1	1106	stedelijk	0	0	0	0
1	1976	grasland	0	0	0	0
1	1976	akkerbouw	0	0	0	0
1	1976	hoogwaardig	2.23	0	0	0
1	1976	stedelijk	0	0	0	0
1	1838	grasland	1.09	0	0	0
1	1838	akkerbouw	1.5	0	0	0
1	1838	hoogwaardig	1.3	0	0	0
1	1838	stedelijk	0	0	0	0
1	1105	grasland	1.11	0	0	0
1	1105	akkerbouw	1.64	0	0	0
1	1105	hoogwaardig	1.31	0	0	0
1	1105	stedelijk	1.53	0	0	0
1	1974	grasland	0	0	0	0
1	1974	akkerbouw	0	0	0	0
1	1974	hoogwaardig	0	0	0	0
1	1974	stedelijk	0	0	0	0
1	1939	grasland	1.06	0	0	0
1	1939	akkerbouw	0	0	0	0
1	1939	hoogwaardig	1.36	0	0	0
1	1939	stedelijk	0	0	0	0
1	1104	grasland	1.22	0	0	0
1	1104	akkerbouw	0	0	0	0
1	1104	hoogwaardig	2.09	0	0	0
1	1104	stedelijk	0	0	0	0
1	1102	grasland	1.45	0	0	0
1	1102	akkerbouw	0	0	0	0
1	1102	hoogwaardig	1.68	0	0	0
1	1102	stedelijk	0	0	0	0
1	1108	grasland	1.17	0	0	0
1	1108	akkerbouw	0	0	0	0
1	1108	hoogwaardig	1.47	0	0	0
1	1108	stedelijk	1.43	0	0	0
1	1938	grasland	1.02	0	0	0
1	1938	akkerbouw	1.01	0	0	0
1	1938	hoogwaardig	0.68	1300.85	6150	16.54
1	1938	stedelijk	0.91	3.26	50	33.33
1	1101	grasland	1.4	0	0	0
1	1101	akkerbouw	0	0	0	0
1	1101	hoogwaardig	2.52	0	0	0
1	1101	stedelijk	1.85	0	0	0
1	1111	grasland	1.08	0	0	0
1	1111	akkerbouw	1.09	0	0	0
1	1111	hoogwaardig	1.12	147.14	2300	3.01
1	1111	stedelijk	1.05	0	0	0
1	1100	grasland	1.44	0	0	0
1	1100	akkerbouw	1.65	0	0	0
1	1100	hoogwaardig	1.55	0	0	0
1	1100	stedelijk	0.14	20.96	25	25
1	1946	grasland	1.19	0	0	0
1	1946	akkerbouw	0	0	0	0
1	1946	hoogwaardig	0.34	36.5	75	10
1	1946	stedelijk	0	0	0	0
1	1103	grasland	1.23	0	0	0
1	1103	akkerbouw	0	0	0	0
1	1103	hoogwaardig	0	0	0	0
1	1103	stedelijk	2.11	0	0	0
1	1937	grasland	0.95	0	0	0
1	1937	akkerbouw	0.08	16.47	25	8.33
1	1937	hoogwaardig	0.26	9922.26	66800	55.52
1	1937	stedelijk	0.85	5.93	50	40
1	1945	grasland	0.95	0	0	0
1	1945	akkerbouw	0	0	0	0
1	1945	hoogwaardig	0.76	481.22	2375	17.4
1	1945	stedelijk	1.59	0	0	0
1	1414	grasland	1.19	0	0	0
1	1414	akkerbouw	0.63	0	0	0
1	1414	hoogwaardig	0.7	580.89	2950	2.67
1	1414	stedelijk	1.21	0	0	0
1	1995	grasland	1.12	0	0	0
1	1995	akkerbouw	1.05	0	0	0
1	1995	hoogwaardig	1.03	1071.91	17925	15.55
1	1995	stedelijk	0	0	0	0
1	1296	grasland	0	0	0	0
1	1296	akkerbouw	0	0	0	0
1	1296	hoogwaardig	0	0	0	0
1	1296	stedelijk	0	0	0	0
1	1125	grasland	0.98	0	0	0
1	1125	akkerbouw	0.83	0	0	0
1	1125	hoogwaardig	0.68	1345.08	6425	24.15
1	1125	stedelijk	0.95	2.52	25	10
1	1413	grasland	1.35	0	0	0
1	1413	akkerbouw	0.63	0	0	0
1	1413	hoogwaardig	0.46	530.49	2600	18.87
1	1413	stedelijk	0	0	0	0
1	1411	grasland	1.24	0	0	0
1	1411	akkerbouw	1.23	0	0	0
1	1411	hoogwaardig	1.08	0	0	0
1	1411	stedelijk	1.32	0	0	0
1	1126	grasland	1.04	0	0	0
1	1126	akkerbouw	1.08	0	0	0
1	1126	hoogwaardig	0.69	7843.7	17000	83.74
1	1126	stedelijk	1.3	4.46	50	28.57
1	1110	grasland	1.09	0	0	0
1	1110	akkerbouw	0	0	0	0
1	1110	hoogwaardig	0.88	2366.57	24025	48.86
1	1110	stedelijk	0	0	0	0
1	1257	grasland	1.23	0	0	0
1	1257	akkerbouw	0.98	0	0	0
1	1257	hoogwaardig	0.75	8906.95	60250	37.99
1	1257	stedelijk	0.78	6.85	75	25
1	1119	grasland	0	0	0	0
1	1119	akkerbouw	0	0	0	0
1	1119	hoogwaardig	0	0	0	0
1	1119	stedelijk	0	0	0	0
1	1127	grasland	1	0	0	0
1	1127	akkerbouw	1.09	0	0	0
1	1127	hoogwaardig	0.49	878.62	2300	76.67
1	1127	stedelijk	0.9	21.15	100	80
1	1255	grasland	1.13	0	0	0
1	1255	akkerbouw	1.19	0	0	0
1	1255	hoogwaardig	1.06	108.32	1375	36.67
1	1255	stedelijk	2.24	0	0	0
1	1113	grasland	0	0	0	0
1	1113	akkerbouw	0	0	0	0
1	1113	hoogwaardig	2.57	0	0	0
1	1113	stedelijk	0	0	0	0
1	1114	grasland	1.37	0	0	0
1	1114	akkerbouw	1.16	0	0	0
1	1114	hoogwaardig	0.92	1186.01	9900	17.44
1	1114	stedelijk	1.04	0	0	0
1	1122	grasland	0	0	0	0
1	1122	akkerbouw	0	0	0	0
1	1122	hoogwaardig	0	0	0	0
1	1122	stedelijk	0	0	0	0
1	1134	grasland	1.12	0	0	0
1	1134	akkerbouw	0	0	0	0
1	1134	hoogwaardig	0	0	0	0
1	1134	stedelijk	0	0	0	0
1	1121	grasland	0	0	0	0
1	1121	akkerbouw	0	0	0	0
1	1121	hoogwaardig	0	0	0	0
1	1121	stedelijk	0	0	0	0
1	1131	grasland	1.11	0	0	0
1	1131	akkerbouw	0	0	0	0
1	1131	hoogwaardig	0.76	1154.72	2500	100
1	1131	stedelijk	0	0	0	0
1	1129	grasland	1.19	0	0	0
1	1129	akkerbouw	0	0	0	0
1	1129	hoogwaardig	1.14	90.75	525	100
1	1129	stedelijk	0	0	0	0
1	1116	grasland	0	0	0	0
1	1116	akkerbouw	0	0	0	0
1	1116	hoogwaardig	0	0	0	0
1	1116	stedelijk	0	0	0	0
1	1117	grasland	1.15	0	0	0
1	1117	akkerbouw	1.15	0	0	0
1	1117	hoogwaardig	0.05	513.73	2750	20.48
1	1117	stedelijk	0	0	0	0
1	1128	grasland	1.07	0	0	0
1	1128	akkerbouw	1.16	0	0	0
1	1128	hoogwaardig	0.65	17293.85	37025	99.4
1	1128	stedelijk	1.23	0.83	25	16.67
1	1252	grasland	1.1	0	0	0
1	1252	akkerbouw	1.35	0	0	0
1	1252	hoogwaardig	1.1	131.66	1200	2.16
1	1252	stedelijk	1.65	0	0	0
1	1135	grasland	1.02	0	0	0
1	1135	akkerbouw	1.08	0	0	0
1	1135	hoogwaardig	0.55	35.48	50	6.06
1	1135	stedelijk	1.92	0	0	0
1	1132	grasland	1.17	0	0	0
1	1132	akkerbouw	1.41	0	0	0
1	1132	hoogwaardig	0.86	5122.13	27050	83.88
1	1132	stedelijk	0	0	0	0
1	1120	grasland	0.86	0	0	0
1	1120	akkerbouw	0	0	0	0
1	1120	hoogwaardig	0	0	0	0
1	1120	stedelijk	0	0	0	0
1	1136	grasland	1.09	0	0	0
1	1136	akkerbouw	0.99	0	0	0
1	1136	hoogwaardig	0.94	8327.72	26950	84.42
1	1136	stedelijk	1.08	5.24	50	50
1	1993	grasland	1.11	0	0	0
1	1993	akkerbouw	1.03	0	0	0
1	1993	hoogwaardig	0.84	677.39	2825	95.76
1	1993	stedelijk	0.96	0.25	25	20
1	1152	grasland	1.14	2139.31	29600	7.98
1	1152	akkerbouw	0	0	0	0
1	1152	hoogwaardig	1.02	5910.5	11075	100
1	1152	stedelijk	1.34	8.86	75	100
1	1137	grasland	1.07	0	0	0
1	1137	akkerbouw	0	0	0	0
1	1137	hoogwaardig	0.58	3681.49	15700	85.56
1	1137	stedelijk	1.27	0	0	0
1	1145	grasland	1.08	0	0	0
1	1145	akkerbouw	0	0	0	0
1	1145	hoogwaardig	0.12	3369.12	5800	100
1	1145	stedelijk	0	0	0	0
1	1256	grasland	1	0	0	0
1	1256	akkerbouw	0.86	0	0	0
1	1256	hoogwaardig	0.95	349.84	3375	4.74
1	1256	stedelijk	1.11	0	0	0
1	1416	grasland	-0.26	468.56	875	21.08
1	1416	akkerbouw	0.35	0	0	0
1	1416	hoogwaardig	-0.26	7930.59	15025	44.85
1	1416	stedelijk	1.13	0	0	0
1	1991	grasland	0.93	0	0	0
1	1991	akkerbouw	0	0	0	0
1	1991	hoogwaardig	0	0	0	0
1	1991	stedelijk	0	0	0	0
1	1130	grasland	0.78	0	0	0
1	1130	akkerbouw	0.97	0	0	0
1	1130	hoogwaardig	0.46	8652.79	32775	68.67
1	1130	stedelijk	0.73	22.91	125	41.67
1	1146	grasland	1.08	0	0	0
1	1146	akkerbouw	1.47	0	0	0
1	1146	hoogwaardig	0.96	9471.98	30225	98.45
1	1146	stedelijk	1.46	0	0	0
1	1253	grasland	1.09	0	0	0
1	1253	akkerbouw	1.16	0	0	0
1	1253	hoogwaardig	1	241.26	3150	18.34
1	1253	stedelijk	0.97	0	0	0
1	1254	grasland	1.03	0	0	0
1	1254	akkerbouw	1.11	0	0	0
1	1254	hoogwaardig	0.97	410.31	7800	6.35
1	1254	stedelijk	1.25	0	0	0
1	1289	grasland	1.12	0	0	0
1	1289	akkerbouw	0	0	0	0
1	1289	hoogwaardig	0.22	94.55	400	31.37
1	1289	stedelijk	-0.01	13.47	25	50
1	1153	grasland	1.09	0	0	0
1	1153	akkerbouw	1.91	0	0	0
1	1153	hoogwaardig	0.76	261.53	2675	2.25
1	1153	stedelijk	1.68	0	0	0
1	1139	grasland	0	0	0	0
1	1139	akkerbouw	0	0	0	0
1	1139	hoogwaardig	0	0	0	0
1	1139	stedelijk	0	0	0	0
1	1141	grasland	0	0	0	0
1	1141	akkerbouw	0	0	0	0
1	1141	hoogwaardig	0	0	0	0
1	1141	stedelijk	0	0	0	0
1	1994	grasland	1.49	0	0	0
1	1994	akkerbouw	1.52	0	0	0
1	1994	hoogwaardig	0.88	0	0	0
1	1994	stedelijk	0	0	0	0
1	1154	grasland	0	0	0	0
1	1154	akkerbouw	0	0	0	0
1	1154	hoogwaardig	0.81	5.44	150	25
1	1154	stedelijk	0	0	0	0
2	1156	grasland	0.99	226438.52	683025	99.78
2	1156	akkerbouw	-0.1	98.66	150	75
2	1156	hoogwaardig	0.37	23985.6	46400	44.03
2	1156	stedelijk	1.04	18.28	25	50
2	1155	grasland	1.09	91979.47	573900	47.69
2	1155	akkerbouw	1	78.33	175	77.78
2	1155	hoogwaardig	1.11	312.39	1550	2.04
2	1155	stedelijk	0.99	24.39	50	50
2	1959	grasland	1.11	22851.57	135500	32.76
2	1959	akkerbouw	1.03	66.66	200	61.54
2	1959	hoogwaardig	1.2	0	0	0
2	1959	stedelijk	1.04	29.86	75	50
2	1962	grasland	1.17	116.24	1625	20.19
2	1962	akkerbouw	0	0	0	0
2	1962	hoogwaardig	3.44	0	0	0
2	1962	stedelijk	0	0	0	0
2	1955	grasland	1.39	4006.89	29350	68.26
2	1955	akkerbouw	0	0	0	0
2	1955	hoogwaardig	1.47	0	0	0
2	1955	stedelijk	1.92	0	0	0
2	1996	grasland	1.11	12177.82	133225	35.55
2	1996	akkerbouw	1.56	0	0	0
2	1996	hoogwaardig	1.62	0	0	0
2	1996	stedelijk	1.66	0	0	0
2	1960	grasland	1.06	30240.3	252925	40.84
2	1960	akkerbouw	1.36	2.44	25	50
2	1960	hoogwaardig	0.95	14.45	175	3.95
2	1960	stedelijk	1.7	0	0	0
2	1958	grasland	1.07	10913.52	86825	30.27
2	1958	akkerbouw	1.53	0	0	0
2	1958	hoogwaardig	0.16	281.93	550	16.54
2	1958	stedelijk	1.34	3.77	25	50
2	1957	grasland	1	41330.87	290325	40.19
2	1957	akkerbouw	1.05	34.96	225	31.03
2	1957	hoogwaardig	1.01	200.61	1200	1.85
2	1957	stedelijk	1.33	4.14	25	11.11
2	1956	grasland	1.16	21340.55	154875	34.09
2	1956	akkerbouw	1.42	3.91	25	50
2	1956	hoogwaardig	1.04	23.55	100	2.14
2	1956	stedelijk	0	0	0	0
2	1952	grasland	1.02	38606.24	290100	37.37
2	1952	akkerbouw	1.41	0.99	25	20
2	1952	hoogwaardig	0.89	517.12	5500	9.42
2	1952	stedelijk	1.13	13.14	50	22.22
2	1953	grasland	1.26	164715.68	717225	86.3
2	1953	akkerbouw	1.39	17.48	50	100
2	1953	hoogwaardig	1.35	0	0	0
2	1953	stedelijk	1.42	7.99	25	50
2	1954	grasland	1.31	25952.25	176525	29.8
2	1954	akkerbouw	2.36	0	0	0
2	1954	hoogwaardig	1.55	0	0	0
2	1954	stedelijk	0	0	0	0
2	1964	grasland	0.53	29.61	50	22.22
2	1964	akkerbouw	3.74	0	0	0
2	1964	hoogwaardig	-0.02	141.99	225	5.39
2	1964	stedelijk	1.57	0	0	0
2	1966	grasland	0	0	0	0
2	1966	akkerbouw	0	0	0	0
2	1966	hoogwaardig	0.5	157.91	950	19.79
2	1966	stedelijk	0	0	0	0
2	1963	grasland	0.89	40.6	225	56.25
2	1963	akkerbouw	2.06	0	0	0
2	1963	hoogwaardig	1.76	0	0	0
2	1963	stedelijk	0	0	0	0
2	1124	grasland	1.55	0	0	0
2	1124	akkerbouw	0	0	0	0
2	1124	hoogwaardig	2.2	0	0	0
2	1124	stedelijk	0	0	0	0
2	1965	grasland	1.08	5.87	25	11.11
2	1965	akkerbouw	0	0	0	0
2	1965	hoogwaardig	-0.2	90.78	150	10.71
2	1965	stedelijk	0	0	0	0
2	1112	grasland	1.08	76921.32	661025	23.13
2	1112	akkerbouw	0.96	88.47	450	64.29
2	1112	hoogwaardig	0.87	738.49	7025	4.73
2	1112	stedelijk	1.01	81.33	475	57.58
